Feature,KS_Statistic,P_Value
V14,0.8428391431180549,0.0
V10,0.8042911367773263,0.0
V12,0.7839083782744691,8.607e-321
V4,0.7664040757496016,2.0406422125835643e-302
V11,0.7560672713721139,4.347506697607444e-292
V17,0.7451726221445955,1.3874110302831698e-281
V3,0.7036817131004787,9.927579616294807e-245
V16,0.6865061424913882,9.366542887299745e-231
V7,0.6605775627599584,6.776861787173702e-211
V2,0.6332012800985509,2.163895238189788e-191
V9,0.5763197781459903,4.388937518139939e-155
V21,0.518527228973818,2.891360383346447e-123
V18,0.5033604302682142,1.1298000746161252e-115
V6,0.48642498894433045,1.5172540850584178e-107
V1,0.4753308729911244,2.0484612390719814e-102
V27,0.46954181273518764,8.487091198171259e-100
V5,0.4364424249469092,1.345582426987593e-85
V28,0.3684565770617697,2.7091902943814297e-60
V8,0.36839471821375264,2.8418904392118054e-60
V20,0.36394720072449127,8.636734576246027e-59
V19,0.3346816746397596,1.538526772887551e-49
Amount,0.27119151307757383,2.1703053464297746e-32
V23,0.1819396183867401,1.0748455227365467e-14
Time,0.16938909937434854,8.733228968947005e-13
V24,0.12919335147135125,1.3235815539868502e-07
V13,0.10311905708614441,5.338333749512346e-05
V26,0.09076917720797772,0.0005702417974340566
V25,0.08812864152593836,0.0009097462239476376
V15,0.06341434104420712,0.036886244874065444
V22,0.057858211199103726,0.07180676134246433
