,Baseline,Covariate,Concept,Pipeline
Amount,0.05262270805308961,0.5769216309132621,0.05262270805308961,0.05262270805308961
Class,0.0045909736906569396,0.0045909736906569396,0.025193553732319192,0.0045909736906569396
Time,1.9960202998573557,4.52729059610457,1.9960202998573557,1.9960202998573557
V1,0.17298188475335946,0.9446827072172569,0.17298188475335946,0.17298188475335946
V10,0.05769068464064162,0.05769068464064162,0.05769068464064162,8.072674441339748
V11,0.36903999994425496,0.36903999994425496,0.36903999994425496,0.36903999994425496
V12,0.21687981853231725,0.21687981853231725,0.21687981853231725,0.21687981853231725
V13,0.10518500155173521,0.10518500155173521,0.10518500155173521,0.10518500155173521
V14,0.1870898835749533,0.7094085527900593,0.1870898835749533,0.1811909210694514
V15,0.2790415975148712,0.2790415975148712,0.2790415975148712,0.2790415975148712
V16,0.04665189293039369,0.04665189293039369,0.04665189293039369,0.04665189293039369
V17,0.1138955953754474,0.1138955953754474,0.1138955953754474,0.6420753254112328
V18,0.13573146802434755,0.13573146802434755,0.13573146802434755,0.13573146802434755
V19,0.08553079384339896,0.08553079384339896,0.08553079384339896,0.08553079384339896
V2,0.04527719128472704,0.4445740550809922,0.04527719128472704,0.04527719128472704
V20,0.0846655715455012,0.0846655715455012,0.0846655715455012,0.0846655715455012
V21,0.06469790408734535,0.06469790408734535,0.06469790408734535,0.06469790408734535
V22,0.18485762513470164,0.18485762513470164,0.18485762513470164,0.18485762513470164
V23,0.10983335970789061,0.10983335970789061,0.10983335970789061,0.10983335970789061
V24,0.072937343380447,0.072937343380447,0.072937343380447,0.072937343380447
V25,0.38588472796199974,0.38588472796199974,0.38588472796199974,0.38588472796199974
V26,0.13127743883727627,0.13127743883727627,0.13127743883727627,0.13127743883727627
V27,0.032867397924270514,0.032867397924270514,0.032867397924270514,0.032867397924270514
V28,0.07921106464218056,0.07921106464218056,0.07921106464218056,0.07921106464218056
V3,0.6199081504471623,0.1932391468656701,0.6199081504471623,0.6199081504471623
V4,0.18552167233732908,0.5131081291770748,0.18552167233732908,0.18552167233732908
V5,0.2370573350231991,0.7443093396981867,0.2370573350231991,0.2370573350231991
V6,0.12158632015269039,0.12158632015269039,0.12158632015269039,0.12158632015269039
V7,0.11657823045446407,0.11657823045446407,0.11657823045446407,0.11657823045446407
V8,0.049367810557802407,0.049367810557802407,0.049367810557802407,0.049367810557802407
V9,0.10506318423051837,0.10506318423051837,0.10506318423051837,0.10506318423051837
