window,drift_type,severity,action,n_signals,confidence
0,covariate,none,monitor,6,0.95
1,covariate,none,monitor,6,0.95
2,covariate,medium,alert,7,0.6835539278774481
3,covariate,high,investigate,12,0.696740449352716
4,covariate,medium,alert,11,0.6404867119193077
5,covariate,medium,alert,12,0.5841142814792626
6,concept,critical,retrain,12,0.7368421052631579
7,concept,critical,retrain,13,0.894736842105263
8,concept,critical,retrain,13,0.8947368421052632
9,concept,critical,retrain,12,0.8947368421052632
